,device_id,mean_magnitude,std_magnitude,median_magnitude,min_magnitude,max_magnitude,mean_x,mean_y,mean_z,variance_x,variance_y,variance_z,correlation_xy,correlation_yz,correlation_xz,covariance_xy,covariance_yz,covariance_xz,skew_x,skew_y,skew_z,kurtosis_x,kurtosis_y,kurtosis_z,epoch,weekday,group,datetime_EST
0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.996413,0.0189532,0.996232,0.689775,1.71391,0.00602107,-0.0594313,-0.981672,0.00389335,0.0181362,0.00391891,-0.371941,-0.751023,0.539794,-0.00312599,-0.00633269,0.00210888,7.02295,-3.08468,6.84171,94.8566,10.8663,72.1415,allday,,3_hour,2021-09-10 09:00:00
1,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1.02264,0.260785,0.996662,0.189454,5.4734,-0.157534,0.0353577,-0.707466,0.127247,0.280701,0.179274,-0.061264,0.583305,-0.259576,-0.011579,0.130856,-0.0392072,-1.06701,1.67527,0.901697,2.80538,4.53774,-0.100104,allday,,3_hour,2021-09-10 12:00:00
2,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1.00449,0.0114167,1.00513,0.657589,1.42028,-0.0471094,-0.172784,0.80973,0.222258,0.0136235,0.0855099,-0.347554,0.731836,-0.254107,-0.0191251,0.0249791,-0.0350318,0.70473,-1.64612,-1.35117,0.32725,2.82089,0.648306,allday,,3_hour,2021-09-10 21:00:00
3,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1.0029,0.0145831,1.00415,0.480862,2.27383,-0.204633,-0.149344,0.715316,0.0640871,0.0231607,0.342915,-0.0523952,0.644869,-0.413646,-0.00201865,0.0574711,-0.0613219,1.17499,-2.20715,-2.11957,5.42235,4.18328,2.79218,allday,,3_hour,2021-09-11 00:00:00
4,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.998668,0.0192047,0.996428,0.262013,1.83383,0.0284534,-0.0729819,-0.542912,0.250056,0.0313873,0.415374,-0.285386,-0.850923,0.402814,-0.0252834,-0.0971617,0.129823,0.293778,-1.31674,0.812272,-0.0620309,1.43777,-1.24439,allday,,3_hour,2021-09-11 03:00:00
5,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.996873,0.0156726,0.996665,0.279548,2.04511,-0.0196684,-0.00909197,-0.931278,0.0221499,0.0795551,0.0245495,-0.472977,-0.723383,0.642657,-0.0198549,-0.0319691,0.0149863,3.36652,-1.93113,3.93487,17.6733,2.99496,22.1183,allday,,3_hour,2021-09-11 06:00:00
6,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1.00915,0.17811,0.996601,0.0867367,4.56684,0.0967603,0.0673529,-0.77642,0.0534812,0.2367,0.143201,0.346363,0.649767,0.469222,0.0389708,0.119629,0.0410639,1.91093,1.41624,1.58478,6.69208,3.60907,1.65924,allday,,3_hour,2021-09-11 09:00:00
7,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.996746,0.0228015,0.996628,0.333507,2.30219,0.0588928,-0.113883,-0.946465,0.00982988,0.0598997,0.0120584,-0.0524564,-0.682238,0.380694,-0.00127289,-0.0183358,0.00414479,3.01775,-1.31691,4.00976,17.0039,1.37947,29.0087,allday,,3_hour,2021-09-11 12:00:00
8,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.996634,0.0226149,0.996646,0.0352416,1.80917,0.0382181,-0.106602,-0.954754,0.00566073,0.0541427,0.00960762,-0.0221782,-0.789496,0.325756,-0.000388276,-0.0180068,0.00240239,4.42558,-1.53406,3.87354,62.0761,1.1103,29.8488,allday,,3_hour,2021-09-11 15:00:00
9,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.999555,0.0644958,0.996675,0.105293,3.42345,0.0765865,-0.0910116,-0.887149,0.0384673,0.10634,0.0572826,0.42235,0.220693,0.717187,0.0270131,0.0172248,0.0336664,3.62992,0.248664,2.86648,18.2374,2.25359,8.54025,allday,,3_hour,2021-09-11 18:00:00
