,device_id,mean_magnitude,std_magnitude,median_magnitude,min_magnitude,max_magnitude,epoch,weekday,group,datetime_EST
0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1009.17,0.0301783,1009.18,1009.1,1009.24,allday,,3_hour,2021-09-10 09:00:00
1,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1009.45,0.718542,1009.13,1008.59,1011.23,allday,,3_hour,2021-09-10 12:00:00
2,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1008.92,0.203349,1008.91,1008.47,1009.2,allday,,3_hour,2021-09-10 21:00:00
3,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1008.43,0.129536,1008.42,1008.17,1008.67,allday,,3_hour,2021-09-11 00:00:00
4,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1008.63,0.194437,1008.6,1008.27,1009.1,allday,,3_hour,2021-09-11 03:00:00
5,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1009.24,0.0750302,1009.23,1009.01,1009.43,allday,,3_hour,2021-09-11 06:00:00
6,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1008.83,0.587076,1008.94,1007.82,1010.4,allday,,3_hour,2021-09-11 09:00:00
7,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1006.87,0.459018,1006.6,1006.28,1007.83,allday,,3_hour,2021-09-11 12:00:00
8,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1006.34,0.10806,1006.34,1006.14,1006.53,allday,,3_hour,2021-09-11 15:00:00
9,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1006.83,0.290404,1006.76,1006.36,1007.52,allday,,3_hour,2021-09-11 18:00:00
10,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1007.27,0.159333,1007.3,1006.88,1007.55,allday,,3_hour,2021-09-11 21:00:00
11,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1006.59,0.260793,1006.55,1006.04,1007.21,allday,,3_hour,2021-09-12 00:00:00
12,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1006.79,0.462836,1006.57,1006.03,1007.66,allday,,3_hour,2021-09-12 03:00:00
13,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1007.98,0.161454,1007.98,1007.66,1008.32,allday,,3_hour,2021-09-12 06:00:00
14,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1008.2,0.195105,1008.28,1007.79,1008.5,allday,,3_hour,2021-09-12 09:00:00
15,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,1007.52,0.63604,1007.65,1005.54,1008.24,allday,,3_hour,2021-09-12 12:00:00
