,device_id,mean_magnitude,std_magnitude,median_magnitude,min_magnitude,max_magnitude,mean_x,mean_y,mean_z,variance_x,variance_y,variance_z,correlation_xy,correlation_yz,correlation_xz,covariance_xy,covariance_yz,covariance_xz,skew_x,skew_y,skew_z,kurtosis_x,kurtosis_y,kurtosis_z,epoch,weekday,group,datetime_EST
0,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0455873,0.302079,0.00885318,0.00180232,7.19434,-0.00151843,0.00672065,-0.0063401,0.028283,0.0526659,0.0122931,-0.032672,0.23346,-0.397388,-0.0012612,0.00594139,-0.0074112,11.7748,-1.07168,-6.18282,528.16,400.191,241.361,allday,,3_hour,2021-09-10 09:00:00
1,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.824542,1.05407,0.488601,0.00308887,12.4443,0.00135952,0.0101607,0.00616898,0.705931,0.577549,0.507304,-0.229408,-0.259372,0.03292,-0.146488,-0.140401,0.0197013,0.304141,0.516478,0.134643,7.94743,14.4037,10.3895,allday,,3_hour,2021-09-10 12:00:00
2,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0369665,0.152099,0.0092211,0.00101694,6.93219,-0.000182694,0.00696697,-0.00457598,0.00420185,0.014032,0.00619728,-0.168082,0.511121,-0.0489095,-0.00129066,0.00476643,-0.000249588,2.56528,-4.71796,2.60198,446.251,492.621,623.392,allday,,3_hour,2021-09-10 21:00:00
3,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.034636,0.19172,0.00923898,0.000520053,9.27994,0.000268792,0.00636993,-0.00506258,0.0115214,0.0167058,0.00966255,-0.120325,0.234543,0.0359554,-0.00166937,0.00297996,0.000379377,-3.06035,-9.74985,0.740835,800.026,916.383,674.38,allday,,3_hour,2021-09-11 00:00:00
4,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.051747,0.221964,0.0100711,0.0010272,10.6344,-0.000323273,0.00734059,-0.00443697,0.0138777,0.0229177,0.0150767,-0.209992,0.16208,-0.128335,-0.00374503,0.00301284,-0.00185637,0.622835,-5.18495,2.7466,647.636,581.024,485.554,allday,,3_hour,2021-09-11 03:00:00
5,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0281203,0.183437,0.00953307,0.00100848,9.74384,-0.00053744,0.00746857,-0.00493963,0.0101929,0.0147776,0.00938912,0.0122483,0.138478,0.0161533,0.000150326,0.00163118,0.000158026,-16.1366,-5.61682,-11.3012,2353.14,973.258,1475.38,allday,,3_hour,2021-09-11 06:00:00
6,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.310926,0.795528,0.0105612,0.000492654,10.3953,-0.00440489,0.00422848,0.0037574,0.258574,0.308131,0.162782,-0.0930669,-0.207352,0.526718,-0.0262702,-0.0464396,0.108064,0.433481,0.0583283,-0.834883,22.8163,32.3526,40.2937,allday,,3_hour,2021-09-11 09:00:00
7,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0513046,0.301974,0.00977334,0.00124973,15.223,-0.000735572,0.00689449,-0.0054034,0.0208346,0.0571932,0.0157151,0.143468,0.0242424,-0.0123168,0.00495255,0.0007268,-0.000222873,-2.68862,-5.96243,1.32163,368.792,1109.02,600.41,allday,,3_hour,2021-09-11 12:00:00
8,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0535144,0.306956,0.00954818,0.000978527,10.5522,9.38772e-05,0.00724945,-0.00523629,0.0219996,0.0631312,0.0118752,0.107003,-0.12834,-0.0341347,0.00398781,-0.00351409,-0.000551736,0.937615,0.00891373,-2.3729,261.655,562.617,310.785,allday,,3_hour,2021-09-11 15:00:00
9,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.115641,0.489361,0.00973975,0.00115768,10.8449,-0.000742126,0.0075462,-0.00386525,0.0655283,0.120143,0.0671033,0.22314,0.0205196,0.266549,0.0197993,0.00184246,0.0176755,2.13629,-1.05014,-0.0372788,127.652,159.851,127.683,allday,,3_hour,2021-09-11 18:00:00
